Gene,Variant,Drug
BDNF,rs6265,imipramine
BDNF,rs6265,milnacipran
BDNF,rs6265,venlafaxine
BDNF,rs6265,citalopram
BDNF,rs6265,escitalopram
BDNF,rs6265,fluoxetine
BDNF,rs6265,fluvoxamine
BDNF,rs6265,paroxetine
BDNF,rs6265,sertraline
BDNF,rs6265,antidepressants
CLMN,rs8014194,atorvastatin
CLMN,rs8014194,pravastatin
CLMN,rs8014194,simvastatin
CELF4,rs4799915,iloperidone
HMGCR,rs12654264,hmg coa reductase inhibitors
HMGCR,rs17244841,pravastatin
HMGCR,rs3846662,atorvastatin
HMGCR,rs17671591,atorvastatin
HMGCR,rs12654264,hmg coa reductase inhibitors
HMGCR,rs12654264,hmg coa reductase inhibitors
HMGCR,rs17238540,atorvastatin
HMGCR,rs17238540,cerivastatin
HMGCR,rs17238540,fluvastatin
HMGCR,rs17238540,pravastatin
HMGCR,rs17238540,rosuvastatin
HMGCR,rs17238540,simvastatin
HMGCR,rs17244841,fluvastatin
HMGCR,rs17238540,pravastatin
HMGCR,rs17671591,atorvastatin
HMGCR,rs3846662,hmg coa reductase inhibitors
HMGCR,rs17238540,pravastatin
HMGCR,rs17244841,simvastatin
HMGCR,rs17238540,simvastatin
HMGCR,rs10474433,atorvastatin
HMGCR,rs17238540,fluvastatin
HMGCR,rs17238540,pravastatin
HMGCR,rs3846662,hmg coa reductase inhibitors
HMGCR,rs3846662,hmg coa reductase inhibitors
HMGCR,rs17244841,pravastatin
HMGCR,rs17238540,pravastatin
PROS1,rs8178607,warfarin
ABCC8,rs757110,gliclazide
ABCC8,rs757110,glimepiride
ABCC8,rs757110,glipizide
ABCC8,rs757110,gliquidone
ABCC8,rs757110,glyburide
ABCC8,rs5219,glimepiride
ABCC8,rs5219,glipizide
ABCC8,rs5219,glyburide
ABCC8,rs757110,glimepiride
ABCC8,rs757110,glipizide
ABCC8,rs757110,glyburide
ABCC8,rs1799859,glimepiride
ABCC8,rs1799859,glipizide
ABCC8,rs1799859,glyburide
ABCC8,rs1799854,glimepiride
ABCC8,rs1799854,glipizide
ABCC8,rs1799854,glyburide
ABCC8,rs757110,"sulfonamides, urea derivatives"
ABCC8,rs757110,gliclazide
ABCC8,rs757110,glimepiride
ABCC8,rs757110,glipizide
ABCC8,rs757110,gliquidone
ABCC8,rs757110,glyburide
ABCC8,rs2237991,tacrolimus
ABCC8,rs2074315,Drugs For Treatment Of Tuberculosis
ABCC8,rs757110,Drugs For Treatment Of Tuberculosis
ABCC8,rs1799857,Drugs For Treatment Of Tuberculosis
ABCC8,rs757110,gliclazide
ABCC8,rs757110,glyburide
ABCC8,rs757110,glimepiride
ABCC8,rs757110,glyburide
ABCC8,rs757110,glimepiride
ABCC8,rs757110,glyburide
ABCC8,rs757110,"sulfonamides, urea derivatives"
ABCC8,rs757110,gliclazide
ABCC8,rs757110,glimepiride
ABCC8,rs757110,glipizide
ABCC8,rs757110,gliquidone
ABCC8,rs757110,glyburide
ABCC8,rs757110,"sulfonamides, urea derivatives"
ABCC8,rs5219,metformin
ABCC8,rs5219,"sulfonamides, urea derivatives"
CLDN11,rs62293499,anastrozole
FBXO21,rs149212925,cyclophosphamide
FBXO21,rs149212925,doxorubicin
CACNB2,rs560765906,dexmedetomidine
CACNB2,rs982003,antipsychotics
CACNB2,rs1277733,antipsychotics
CACNB2,rs4237348,antipsychotics
CACNB2,rs10741058,antipsychotics
CACNB2,rs12245847,antipsychotics
CACNB2,rs2357928,verapamil
CACNB2,rs2357928,verapamil
CACNB2,rs11014166,verapamil
CACNB2,rs11014166,verapamil
CACNB2,rs2357928,verapamil
CACNB2,rs10764319,dexmedetomidine
SYN3,rs9621532,ranibizumab
ADORA3,rs1544223,methotrexate
ADORA3,rs2298191,methotrexate
ADORA3,rs2298191,methotrexate
ADORA3,rs3393,methotrexate
ADORA3,rs1544223,methotrexate
ADORA3,rs3393,methotrexate
ADORA3,rs3394,methotrexate
ADORA3,rs2298191,methotrexate
ADORA3,rs1544223,methotrexate
ADORA3,rs35511654,methotrexate
ADORA3,rs3393,methotrexate
MAPT,rs919463,vincristine
MAPT,rs1467967,vincristine
MAPT,rs2435207,vincristine
MAPT,rs1800547,corticosteroids
MAPT,rs1052587,corticosteroids
MAPT,rs9468,corticosteroids
MAPT,rs7521,vincristine
MAPT,rs242557,vincristine
MAPT,rs1800547,vincristine
MAPT,rs8079215,vincristine
MAPT,rs11867549,vincristine
MAPT,rs3785883,vincristine
MAPT,rs1001945,vincristine
DIO2,rs225014,levothyroxine
DIO2,rs12885300,levothyroxine
NBEA,rs9315310,antidepressants
NBEA,rs57081354,metformin
CSRNP3,rs7588295,Bisphosphonates
KAT2B,rs9829896,amphetamine
KAT2B,rs9829896,cannabinoids
KAT2B,rs9829896,cocaine
KAT2B,rs9829896,opioids
KAT2B,rs9829896,amphetamine
KAT2B,rs9829896,cannabinoids
KAT2B,rs9829896,cocaine
KAT2B,rs9829896,opioids
TRDN,rs4897302,corticosteroids
F5,rs6025,antithrombotic agents
F5,rs6025,asparaginase
F5,rs368967198,"Ace Inhibitors, Plain"
F5,rs368967198,Angiotensin II Antagonists
F5,rs6018,"Ace Inhibitors, Plain"
F5,rs6018,Angiotensin II Antagonists
F5,rs140530655,"Ace Inhibitors, Plain"
F5,rs140530655,Angiotensin II Antagonists
F5,rs6019,"Ace Inhibitors, Plain"
F5,rs6019,Angiotensin II Antagonists
F5,rs9332695,"Ace Inhibitors, Plain"
F5,rs9332695,Angiotensin II Antagonists
F5,rs4524,"Ace Inhibitors, Plain"
F5,rs4524,Angiotensin II Antagonists
F5,rs6020,"Ace Inhibitors, Plain"
F5,rs6020,Angiotensin II Antagonists
F5,rs149389480,"Ace Inhibitors, Plain"
F5,rs149389480,Angiotensin II Antagonists
F5,rs200157005,"Ace Inhibitors, Plain"
F5,rs200157005,Angiotensin II Antagonists
F5,rs143509841,"Ace Inhibitors, Plain"
F5,rs143509841,Angiotensin II Antagonists
F5,rs6018,warfarin
F5,rs7542281,warfarin
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,hormonal contraceptives for systemic use
F5,rs6025,"Ace Inhibitors, Plain"
F5,rs6025,Angiotensin II Antagonists
F5,rs6025,hormonal contraceptives for systemic use
GRIA1,rs1994862,Selective serotonin reuptake inhibitors
GRIA1,rs4958381,asparaginase
GRIA1,rs4958351,l-asparagine
GRIA1,rs2195450,almotriptan
GRIA1,rs2195450,eletriptan
GRIA1,rs2195450,frovatriptan
GRIA1,rs2195450,rizatriptan
GRIA1,rs2195450,sumatriptan
GRIA1,rs2195450,zolmitriptan
GRIA1,rs548294,almotriptan
GRIA1,rs548294,eletriptan
GRIA1,rs548294,frovatriptan
GRIA1,rs548294,rizatriptan
GRIA1,rs548294,sumatriptan
GRIA1,rs548294,zolmitriptan
TDRD6,rs2270450,antipsychotics
SMDT1,rs1807493,dextromethorphan
GABRG2,rs211037,carbamazepine
GABRG2,rs211037,phenytoin
GABRG2,rs211037,valproic acid
GABRG2,rs211037,carbamazepine
GABRG2,rs211037,phenobarbital
GABRG2,rs211037,phenytoin
GABRG2,rs211037,valproic acid
GABRG2,rs77370934,"Ace Inhibitors, Plain"
TSPAN5,rs11947402,citalopram
TSPAN5,rs11947402,escitalopram
TSPAN5,rs11947402,serotonin
ATF5,rs8667,methotrexate
ATF5,rs8667,asparaginase
ATF5,rs8667,cyclophosphamide
ATF5,rs8667,cytarabine
ATF5,rs8667,daunorubicin
ATF5,rs8667,hydrocortisone
ATF5,rs8667,methotrexate
ATF5,rs8667,prednisone
ATF5,rs8667,vincristine
METTL8,rs79802223,vincristine
HRH3,rs3787429,risperidone
HRH3,rs3787429,risperidone
HRH3,rs3787430,risperidone
CACNB4,rs3768652,antipsychotics
FCER2,rs28364072,budesonide
FCER2,rs28364072,corticosteroids
FCER2,rs28364072,corticosteroids
FAS,rs2234767,Platinum compounds
CSNK1E,rs6001093,heroin
CSNK1E,rs1534891,heroin
CSNK1E,rs135757,heroin
CSNK1E,rs135745,methamphetamine
CSNK1E,rs1534891,heroin
SLC7A5,rs4240803,gabapentin
SLC7A5,rs4240803,pregabalin
SLC7A5,rs4240803,gabapentin
SLC7A5,rs4240803,pregabalin
SLC7A5,rs4240803,pregabalin
SLC7A5,rs4240803,gabapentin
SLC7A5,rs4240803,melphalan
ANGPT1,rs2445365,bevacizumab
MTRF1L,rs766127,antidepressants
SUCLA2,rs746071566,azathioprine
SUCLA2,rs746071566,mercaptopurine
MTCL1,rs2377898,Selective serotonin reuptake inhibitors
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs34834489,metformin
SLC47A2,rs34834489,metformin
SLC47A2,rs34834489,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs12943590,metformin
SLC47A2,rs34399035,metformin
SLC47A2,rs34399035,metformin
SLC47A2,rs4621031,metformin
SCN2A,rs17183814,carbamazepine
SCN2A,rs17183814,phenytoin
SCN2A,rs17183814,valproic acid
SCN2A,rs2304016,antiepileptics
SCN2A,rs17183814,carbamazepine
SCN2A,rs2304016,carbamazepine
SCN2A,rs2304016,lamotrigine
SCN2A,rs2304016,oxcarbazepine
SCN2A,rs2304016,phenytoin
SCN2A,rs2304016,topiramate
SCN2A,rs17183814,carbamazepine
SCN2A,rs17183814,phenobarbital
SCN2A,rs17183814,phenytoin
SCN2A,rs17183814,valproic acid
SCN2A,rs17183814,carbamazepine
SCN2A,rs17183814,valproic acid
SCN2A,rs17183814,carbamazepine
SCN2A,rs17183814,valproic acid
SCN2A,rs2304016,carbamazepine
SCN2A,rs2304016,oxcarbazepine
SCN2A,rs17183814,carbamazepine
SCN2A,rs17183814,oxcarbazepine
SCN2A,rs17183814,valproic acid
BDNF-AS,rs11030096,opioids
BDNF-AS,rs6265,citalopram
BDNF-AS,rs6265,sertraline
BDNF-AS,rs6265,antipsychotics
BDNF-AS,rs11030101,escitalopram
BDNF-AS,rs6265,lithium
BDNF-AS,rs10501087,antipsychotics
BDNF-AS,rs6265,lithium
BDNF-AS,rs1967554,methadone
BDNF-AS,rs7127507,methadone
BDNF-AS,rs11030118,methadone
BDNF-AS,rs10501087,antidepressants
MRPL47,rs10513762,vincristine
SMAD3,rs12913535,atezolizumab
SMAD3,rs12913535,avelumab
SMAD3,rs12913535,durvalumab
SMAD3,rs12913535,ipilimumab
SMAD3,rs12913535,nivolumab
SMAD3,rs12913535,pembrolizumab
FLT1,rs7995976,anthracyclines and related substances
FLT1,rs7995976,bevacizumab
FLT1,rs7995976,cyclophosphamide
FLT1,rs7995976,docetaxel
FLT1,rs7995976,epirubicin
FLT1,rs7995976,taxanes
FLT1,rs9582036,sunitinib
FLT1,rs9554320,sunitinib
FLT1,rs9582036,sunitinib
FLT1,rs7993418,sunitinib
FLT1,rs9554320,sunitinib
FLT1,rs9582036,sunitinib
FLT1,rs7993418,cisplatin
FLT1,rs7993418,fluorouracil
FLT1,rs7993418,oxaliplatin
FLT1,rs664393,cisplatin
FLT1,rs664393,fluorouracil
FLT1,rs664393,oxaliplatin
FLT1,rs7993418,imatinib
FLT1,rs7993418,imatinib
FLT1,rs12877323,bevacizumab
FLT1,rs12877323,ranibizumab
FLT1,rs664393,sorafenib
FLT1,rs7993418,sunitinib
CNIH3,rs10799590,opioids
RAVER2,rs72675408,methotrexate
RAVER2,rs72675408,methotrexate
SLC2A1,rs3738514,platinum
SLC2A1,rs4658,platinum
ANK3,rs143414470,capecitabine
GAPVD1,rs2291858,interferon beta-1a
GAPVD1,rs2291858,interferon beta-1b
GAPVD1,rs10760397,interferon beta-1a
GAPVD1,rs10760397,interferon beta-1b
GAPVD1,rs10819043,interferon beta-1a
GAPVD1,rs10819043,interferon beta-1b
EPHX1,rs1051740,warfarin
EPHX1,rs2260863,warfarin
EPHX1,rs1051740,cisplatin
EPHX1,rs1051740,cyclophosphamide
EPHX1,rs1051740,cisplatin
EPHX1,rs1051740,cyclophosphamide
EPHX1,rs2260863,warfarin
EPHX1,rs1051741,warfarin
EPHX1,rs2234922,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs2260863,warfarin
EPHX1,rs1051740,phenprocoumon
EPHX1,rs1051740,phenytoin
EPHX1,rs2234922,phenytoin
EPHX1,rs1051740,phenprocoumon
EPHX1,rs2234922,docetaxel
EPHX1,rs1131873,warfarin
EPHX1,rs2234922,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs2260863,warfarin
EPHX1,rs1131873,warfarin
EPHX1,rs4653436,warfarin
EPHX1,rs1051740,warfarin
EPHX1,rs1051740,phenprocoumon
EPHX1,rs1877724,warfarin
EPHX1,rs1131873,warfarin
EPHX1,rs2234922,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs2234922,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs2234922,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs1051740,carbamazepine
EPHX1,rs2234922,carbamazepine
EPHX1,rs1877724,warfarin
EPHX1,Unknown Variant,acetylcysteine
EPHX1,rs2234922,carbamazepine
EPHX1,rs1131873,fluindione
EPHX1,rs4653436,warfarin
EPHX1,rs2234922,warfarin
EPHX1,rs2234922,carbamazepine
EPHX1,rs4653436,warfarin
EPHX1,rs1051740,carbamazepine
EPHX1,rs3738046,carbamazepine
EPHX1,rs1051740,warfarin
EPHX1,rs1051740,carbamazepine
FABP1,rs2241883,fenofibrate
FABP1,rs2241883,fenofibrate
FABP1,rs2241883,fenofibrate
BRAF,rs113488022,dabrafenib
BRAF,rs113488022,selumetinib
BRAF,rs113488022,dabrafenib
BRAF,rs113488022,FOLFIRI
BRAF,rs113488022,FOLFOX
BRAF,rs113488022,XELOX
EGFR,rs712829,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,erlotinib
EGFR,rs17172437,egfr inhibitors
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,erlotinib
EGFR,rs2293348,egfr inhibitors
EGFR,rs121434568,gefitinib
EGFR,rs121434568,carboplatin
EGFR,rs121434568,erlotinib
EGFR,rs121434568,paclitaxel
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs2330951,sorafenib
EGFR,rs917881,sorafenib
EGFR,rs917881,sorafenib
EGFR,rs712829,geldanamycin
EGFR,rs712829,Alkylating Agents
EGFR,rs2227983,egfr inhibitors
EGFR,rs121434568,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs712829,egfr inhibitors
EGFR,rs2072454,imatinib
EGFR,rs11568315,cetuximab
EGFR,rs11568315,irinotecan
EGFR,rs2293348,egfr inhibitors
EGFR,rs2293348,egfr inhibitors
EGFR,rs73420732,egfr inhibitors
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,erlotinib
EGFR,rs2227983,cetuximab
EGFR,rs11568315,cetuximab
EGFR,rs11568315,irinotecan
EGFR,rs121434568,gefitinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs712829,cetuximab
EGFR,rs712829,panitumumab
EGFR,rs2227983,cetuximab
EGFR,rs2227983,panitumumab
EGFR,rs712829,cetuximab
EGFR,rs712829,panitumumab
EGFR,rs2227983,cetuximab
EGFR,rs2227983,panitumumab
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs11568315,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,gefitinib
EGFR,rs712829,erlotinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,gefitinib
EGFR,rs2293347,gefitinib
EGFR,rs11568315,gefitinib
EGFR,rs11568315,gefitinib
EGFR,rs2293347,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,gefitinib
EGFR,rs11568315,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs11568315,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434569,erlotinib
EGFR,rs121434569,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434569,gefitinib
EGFR,rs2227983,cetuximab
EGFR,rs712829,cetuximab
EGFR,rs712829,panitumumab
EGFR,rs712829,topoisomerase I inhibitors
EGFR,rs121434568,gefitinib
EGFR,rs712829,gefitinib
EGFR,rs2293347,fluorouracil
EGFR,rs2227983,egfr inhibitors
EGFR,rs121434568,afatinib
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs121434568,gefitinib
EGFR,rs121434569,osimertinib
EGFR,rs712829,gefitinib
EGFR,rs11506105,peginterferon alfa-2a
EGFR,rs11506105,peginterferon alfa-2b
EGFR,rs11506105,ribavirin
EGFR,rs712830,cetuximab
EGFR,rs712830,irinotecan
EGFR,rs712830,leucovorin
EGFR,rs712830,tegafur
EGFR,rs121434568,erlotinib
EGFR,rs121434568,gefitinib
EGFR,rs121434569,gefitinib
EGFR,rs10258429,imatinib
CUX2,rs7958375,rifampin
SULF2,rs2076549,vincristine
CD80,rs34394661,clopidogrel
ERBB3,rs2229046,carboplatin
ERBB3,rs2229046,docetaxel
ERBB3,rs2229046,trastuzumab
ERBB3,rs773123,carboplatin
ERBB3,rs773123,docetaxel
ERBB3,rs773123,trastuzumab
RPL13,rs12960,docetaxel
RPL13,rs12960,thalidomide
ITGB3,rs5918,aspirin
ITGB3,rs5918,clopidogrel
ITGB3,rs3785873,clopidogrel
ITGB3,rs58847127,clopidogrel
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
ITGB3,rs5918,clopidogrel
ITGB3,rs5918,aspirin
ITGB3,rs5918,clopidogrel
ITGB3,rs5918,clopidogrel
ITGB3,rs5918,clopidogrel
ITGB3,rs5918,clopidogrel
ITGB3,rs2317676,clopidogrel
ITGB3,rs11871251,clopidogrel
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
ITGB3,rs5918,clopidogrel
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
ITGB3,rs5918,abciximab
ITGB3,rs5918,aspirin
ITGB3,rs5918,aspirin
FGFR2,rs2981582,sunitinib
FGFR2,rs2981582,pazopanib
NUMA1,rs10898815,Calcium channel blockers
NUMA1,rs10898815,Dihydropyridine derivatives
PDZRN3,rs11128347,irinotecan
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,(S)-methadone
CYP2B6,Unknown Variant,busulfan
CYP2B6,rs2279343,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs16974799,methadone
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,tramadol
CYP2B6,rs3745274,nevirapine
CYP2B6,Unknown Variant,diazepam
CYP2B6,rs28399499,nevirapine
CYP2B6,rs28399499,nevirapine
CYP2B6,rs36118214,efavirenz
CYP2B6,rs8109525,bupropion
CYP2B6,rs4802101,cyclophosphamide
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,clopidogrel
CYP2B6,Unknown Variant,clopidogrel
CYP2B6,Unknown Variant,bupropion
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3211371,cyclophosphamide
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs4803419,levonorgestrel
CYP2B6,Unknown Variant,clopidogrel
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs2279343,bupropion
CYP2B6,rs2279343,varenicline
CYP2B6,rs3211371,bupropion
CYP2B6,rs2279343,nevirapine
CYP2B6,rs2279343,bupropion
CYP2B6,rs3211371,methadone
CYP2B6,rs28399499,nevirapine
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,medroxyprogesterone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3211371,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,opioids
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,lumefantrine
CYP2B6,Unknown Variant,artemether
CYP2B6,rs2279345,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,non-nucleoside reverse transcriptase inhibitors
CYP2B6,rs28399499,efavirenz
CYP2B6,rs28399499,non-nucleoside reverse transcriptase inhibitors
CYP2B6,rs34097093,efavirenz
CYP2B6,rs34097093,non-nucleoside reverse transcriptase inhibitors
CYP2B6,rs1042389,efavirenz
CYP2B6,rs1042389,non-nucleoside reverse transcriptase inhibitors
CYP2B6,rs8192709,efavirenz
CYP2B6,rs8192709,non-nucleoside reverse transcriptase inhibitors
CYP2B6,rs3745274,efavirenz
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,quetiapine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,sertraline
CYP2B6,Unknown Variant,sertraline
CYP2B6,Unknown Variant,sertraline
CYP2B6,rs2279343,(S)-methadone
CYP2B6,rs2279343,methadone
CYP2B6,rs4803419,methadone
CYP2B6,rs10500282,methadone
CYP2B6,rs11882424,methadone
CYP2B6,Unknown Variant,methadone
CYP2B6,rs12721655,bupropion
CYP2B6,rs12721655,efavirenz
CYP2B6,Unknown Variant,hydroxybupropion
CYP2B6,rs3745274,tramadol
CYP2B6,rs3745274,methadone
CYP2B6,rs3745274,nevirapine
CYP2B6,rs2279343,methadone
CYP2B6,rs3745274,methadone
CYP2B6,Unknown Variant,tamoxifen
CYP2B6,rs3745274,methadone
CYP2B6,rs3745274,methadone
CYP2B6,rs3745274,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs2279343,methadone
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs2279345,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs8192719,efavirenz
CYP2B6,rs8192709,cyclophosphamide
CYP2B6,rs2279342,AR-C124910XX
CYP2B6,rs2279342,ticagrelor
CYP2B6,rs35930845,AR-C124910XX
CYP2B6,rs35930845,ticagrelor
CYP2B6,rs3745276,AR-C124910XX
CYP2B6,rs3745276,ticagrelor
CYP2B6,rs434606,AR-C124910XX
CYP2B6,rs434606,ticagrelor
CYP2B6,rs56156262,AR-C124910XX
CYP2B6,rs56156262,ticagrelor
CYP2B6,Unknown Variant,(S)-methadone
CYP2B6,Unknown Variant,R-EDDP
CYP2B6,Unknown Variant,S-EDDP
CYP2B6,Unknown Variant,R-EDDP
CYP2B6,Unknown Variant,S-EDDP
CYP2B6,Unknown Variant,tamoxifen
CYP2B6,Unknown Variant,tamoxifen
CYP2B6,Unknown Variant,tamoxifen
CYP2B6,rs4803419,tramadol
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,rs3745274,nevirapine
CYP2B6,Unknown Variant,tamoxifen
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,bupropion
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,"Antivirals for treatment of HIV infections, combinations"
CYP2B6,rs3745274,Drugs For Treatment Of Tuberculosis
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,efavirenz
CYP2B6,rs4803419,cyclophosphamide
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3211371,efavirenz
CYP2B6,rs3211371,nevirapine
